iter	SurvivalAft	SurvivalAft:dist=Extreme;scale=2
0	3.447559514	3.447559514
1	3.413247273	3.413247273
2	3.375154663	3.375154663
3	3.320731158	3.320731158
4	3.268229236	3.268229236
5	3.208570525	3.208570525
6	3.162591477	3.162591477
7	3.101091421	3.101091421
8	3.046432796	3.046432796
9	2.980656307	2.980656307
10	2.917747564	2.917747564
11	2.857580835	2.857580835
12	2.788632863	2.788632863
13	2.727319327	2.727319327
14	2.652769083	2.652769083
15	2.596645795	2.596645795
16	2.527142657	2.527142657
17	2.472490504	2.472490504
18	2.39556955	2.39556955
19	2.349159957	2.349159957
20	2.292187959	2.292187959
21	2.215057084	2.215057084
22	2.148753017	2.148753017
23	2.0623642	2.0623642
24	1.97603608	1.97603608
25	1.887846501	1.887846501
26	1.828386862	1.828386862
27	1.739839061	1.739839061
28	1.680631799	1.680631799
29	1.603431522	1.603431522
30	1.537417913	1.537417913
31	1.46853239	1.46853239
32	1.394193442	1.394193442
33	1.333090659	1.333090659
34	1.257963443	1.257963443
35	1.199484517	1.199484517
36	1.1328196	1.1328196
37	1.069278746	1.069278746
38	1.020105001	1.020105001
39	0.9783185444	0.9783185444
40	0.9371968032	0.9371968032
41	0.8942888755	0.8942888755
42	0.8630216721	0.8630216721
43	0.8303093588	0.8303093588
44	0.8045259413	0.8045259413
45	0.7917419968	0.7917419968
46	0.7853558807	0.7853558807
47	0.7799399347	0.7799399347
48	0.7803740192	0.7803740192
49	0.7846275676	0.7846275676
50	0.79792855	0.79792855
51	0.8115756096	0.8115756096
52	0.8343783249	0.8343783249
53	0.8647784158	0.8647784158
54	0.9000404957	0.9000404957
55	0.9401151582	0.9401151582
56	0.9595052494	0.9595052494
57	1.004782505	1.004782505
58	1.042827405	1.042827405
59	1.098978638	1.098978638
60	1.127987457	1.127987457
61	1.171470638	1.171470638
62	1.236131364	1.236131364
63	1.274176506	1.274176506
64	1.335351506	1.335351506
65	1.38907181	1.38907181
66	1.431722228	1.431722228
67	1.496885342	1.496885342
68	1.543743993	1.543743993
69	1.580996975	1.580996975
70	1.651208546	1.651208546
71	1.717075908	1.717075908
72	1.774821859	1.774821859
73	1.851262892	1.851262892
74	1.929281235	1.929281235
75	1.980584092	1.980584092
76	2.030351177	2.030351177
77	2.064679196	2.064679196
78	2.100556202	2.100556202
79	2.141886642	2.141886642
80	2.224312464	2.224312464
81	2.313939986	2.313939986
82	2.398013794	2.398013794
83	2.450432154	2.450432154
84	2.535487398	2.535487398
85	2.595398179	2.595398179
86	2.680933062	2.680933062
87	2.769353641	2.769353641
88	2.865461188	2.865461188
89	2.888026434	2.888026434
90	2.929515445	2.929515445
91	2.981935153	2.981935153
92	3.034367929	3.034367929
93	3.106941533	3.106941533
94	3.198909208	3.198909208
95	3.223717731	3.223717731
96	3.321036072	3.321036072
97	3.399437835	3.399437835
98	3.434212188	3.434212188
99	3.528948736	3.528948736
100	3.617716356	3.617716356
101	3.709840945	3.709840945
102	3.740381066	3.740381066
103	3.768809196	3.768809196
104	3.842792556	3.842792556
105	3.908033165	3.908033165
106	3.972479868	3.972479868
107	4.060123746	4.060123746
108	4.151052547	4.151052547
109	4.228380736	4.228380736
110	4.319798584	4.319798584
111	4.416139954	4.416139954
112	4.497573389	4.497573389
113	4.536827942	4.536827942
114	4.607613364	4.607613364
115	4.678792521	4.678792521
116	4.687823013	4.687823013
117	4.756555693	4.756555693
118	4.782582984	4.782582984
119	4.830203123	4.830203123
120	4.85393865	4.85393865
121	4.931334033	4.931334033
122	5.008886889	5.008886889
123	5.096743415	5.096743415
124	5.187643307	5.187643307
125	5.277892347	5.277892347
126	5.351478898	5.351478898
127	5.376506216	5.376506216
128	5.45270491	5.45270491
129	5.540673485	5.540673485
130	5.575227065	5.575227065
131	5.623823845	5.623823845
132	5.638775675	5.638775675
133	5.648099293	5.648099293
134	5.714682225	5.714682225
135	5.722519754	5.722519754
136	5.755673971	5.755673971
137	5.771244032	5.771244032
138	5.818449655	5.818449655
139	5.864133833	5.864133833
140	5.904620083	5.904620083
141	5.927301871	5.927301871
142	5.969016841	5.969016841
143	5.989116558	5.989116558
144	6.00923538	6.00923538
145	6.029004921	6.029004921
146	6.075859709	6.075859709
147	6.107341526	6.107341526
148	6.122196559	6.122196559
149	6.12134325	6.12134325
150	6.154439884	6.154439884
151	6.213540089	6.213540089
152	6.212343013	6.212343013
153	6.207221209	6.207221209
154	6.237525405	6.237525405
155	6.251618043	6.251618043
156	6.286208338	6.286208338
157	6.307997849	6.307997849
158	6.352844065	6.352844065
159	6.366281087	6.366281087
160	6.385687911	6.385687911
161	6.403408821	6.403408821
162	6.449347523	6.449347523
163	6.468788575	6.468788575
164	6.514921063	6.514921063
165	6.521784873	6.521784873
166	6.59017833	6.59017833
167	6.591204198	6.591204198
168	6.599764741	6.599764741
169	6.620733361	6.620733361
170	6.632452905	6.632452905
171	6.644238444	6.644238444
172	6.671330736	6.671330736
173	6.682002913	6.682002913
174	6.67130435	6.67130435
175	6.682542156	6.682542156
176	6.686152525	6.686152525
177	6.711309266	6.711309266
178	6.75369949	6.75369949
179	6.759353354	6.759353354
180	6.773257526	6.773257526
181	6.800721941	6.800721941
182	6.806797934	6.806797934
183	6.813496278	6.813496278
184	6.827856405	6.827856405
185	6.820822653	6.820822653
186	6.820276157	6.820276157
187	6.857919051	6.857919051
188	6.893360761	6.893360761
189	6.890816785	6.890816785
190	6.891887122	6.891887122
191	6.918299016	6.918299016
192	6.944674234	6.944674234
193	6.957145539	6.957145539
194	6.976401183	6.976401183
195	6.972051613	6.972051613
196	6.963343561	6.963343561
197	6.971363327	6.971363327
198	6.96698827	6.96698827
199	6.952324025	6.952324025
200	6.972816109	6.972816109
201	6.947693104	6.947693104
202	6.934914325	6.934914325
203	6.94968948	6.94968948
204	6.956880257	6.956880257
205	6.968130038	6.968130038
206	6.966080596	6.966080596
207	6.967724542	6.967724542
208	6.971985582	6.971985582
209	6.967928047	6.967928047
210	7.015841173	7.015841173
211	6.991684698	6.991684698
212	7.009751485	7.009751485
213	7.011692887	7.011692887
214	7.033878116	7.033878116
215	7.027779293	7.027779293
216	7.023909296	7.023909296
217	7.009708796	7.009708796
218	7.023984585	7.023984585
219	7.037069954	7.037069954
220	7.016538245	7.016538245
221	7.003402889	7.003402889
222	6.986199246	6.986199246
223	6.992949927	6.992949927
224	7.010857475	7.010857475
225	7.024139744	7.024139744
226	7.003961689	7.003961689
227	7.008030084	7.008030084
228	7.022594321	7.022594321
229	7.035609846	7.035609846
230	7.022467656	7.022467656
231	7.023053255	7.023053255
232	7.0297739	7.0297739
233	7.026090496	7.026090496
234	7.043058285	7.043058285
235	7.0567067	7.0567067
236	7.044142002	7.044142002
237	7.031890075	7.031890075
238	7.05088379	7.05088379
239	7.050322898	7.050322898
240	7.064151834	7.064151834
241	7.06111012	7.06111012
242	7.041409812	7.041409812
243	7.020571997	7.020571997
244	7.044038663	7.044038663
245	7.046548194	7.046548194
246	7.054605968	7.054605968
247	7.074506956	7.074506956
248	7.100855874	7.100855874
249	7.100971585	7.100971585
250	7.111407193	7.111407193
251	7.101681398	7.101681398
252	7.112511104	7.112511104
253	7.126474525	7.126474525
254	7.116831231	7.116831231
255	7.116900216	7.116900216
256	7.0996283	7.0996283
257	7.089203593	7.089203593
258	7.09183678	7.09183678
259	7.095637976	7.095637976
260	7.081440756	7.081440756
261	7.075731271	7.075731271
262	7.081018382	7.081018382
263	7.056757867	7.056757867
264	7.065089595	7.065089595
265	7.055512656	7.055512656
266	7.062490775	7.062490775
267	7.065907532	7.065907532
268	7.063975197	7.063975197
269	7.067780207	7.067780207
270	7.066598146	7.066598146
271	7.070599655	7.070599655
272	7.074768992	7.074768992
273	7.055847801	7.055847801
274	7.045743019	7.045743019
275	7.033851033	7.033851033
276	7.031458326	7.031458326
277	7.04373086	7.04373086
278	7.035525512	7.035525512
279	7.058638647	7.058638647
280	7.033983898	7.033983898
281	7.063034596	7.063034596
282	7.049347302	7.049347302
283	7.063418532	7.063418532
284	7.079360369	7.079360369
285	7.06491847	7.06491847
286	7.035373362	7.035373362
287	7.037992176	7.037992176
288	7.024315298	7.024315298
289	7.026008846	7.026008846
290	7.012603542	7.012603542
291	7.0165034	7.0165034
292	7.00191179	7.00191179
293	6.977503535	6.977503535
294	6.958327226	6.958327226
295	6.971130589	6.971130589
296	6.950972055	6.950972055
297	6.954754539	6.954754539
298	6.951466497	6.951466497
299	6.95468051	6.95468051
300	6.981784925	6.981784925
301	6.954774692	6.954774692
302	6.934386192	6.934386192
303	6.92405033	6.92405033
304	6.939319334	6.939319334
305	6.924785541	6.924785541
306	6.920693063	6.920693063
307	6.928297887	6.928297887
308	6.924842916	6.924842916
309	6.933144903	6.933144903
310	6.931613936	6.931613936
311	6.933860413	6.933860413
312	6.956412249	6.956412249
313	6.964662461	6.964662461
314	6.965240511	6.965240511
315	6.958438737	6.958438737
316	6.981264791	6.981264791
317	6.98313819	6.98313819
318	7.000800029	7.000800029
319	6.995358809	6.995358809
320	7.020542118	7.020542118
321	7.023638441	7.023638441
322	6.999260035	6.999260035
323	6.97727166	6.97727166
324	6.964041024	6.964041024
325	6.947325154	6.947325154
326	6.934268432	6.934268432
327	6.935027816	6.935027816
328	6.928827992	6.928827992
329	6.918182674	6.918182674
330	6.918425746	6.918425746
331	6.928921012	6.928921012
332	6.933618576	6.933618576
333	6.917021251	6.917021251
334	6.893194167	6.893194167
335	6.900972419	6.900972419
336	6.895041635	6.895041635
337	6.897272217	6.897272217
338	6.862834376	6.862834376
339	6.865129921	6.865129921
340	6.869291402	6.869291402
341	6.878814621	6.878814621
342	6.891179759	6.891179759
343	6.890036496	6.890036496
344	6.895650252	6.895650252
345	6.895539387	6.895539387
346	6.898374125	6.898374125
347	6.916995972	6.916995972
348	6.914488235	6.914488235
349	6.910920089	6.910920089
350	6.908426554	6.908426554
351	6.911390402	6.911390402
352	6.892499152	6.892499152
353	6.880263292	6.880263292
354	6.871464242	6.871464242
355	6.859960411	6.859960411
356	6.847412712	6.847412712
357	6.851287012	6.851287012
358	6.843568791	6.843568791
359	6.837390324	6.837390324
360	6.842358619	6.842358619
361	6.821190086	6.821190086
362	6.807477839	6.807477839
363	6.815966789	6.815966789
364	6.817394753	6.817394753
365	6.808633068	6.808633068
366	6.787448933	6.787448933
367	6.771842654	6.771842654
368	6.773850839	6.773850839
369	6.792974647	6.792974647
370	6.78092411	6.78092411
371	6.769747673	6.769747673
372	6.775465318	6.775465318
373	6.76223883	6.76223883
374	6.760026637	6.760026637
375	6.757139548	6.757139548
376	6.750355901	6.750355901
377	6.751044399	6.751044399
378	6.749610893	6.749610893
379	6.74216801	6.74216801
380	6.732861403	6.732861403
381	6.720189934	6.720189934
382	6.712948183	6.712948183
383	6.720315688	6.720315688
384	6.713213645	6.713213645
385	6.716406565	6.716406565
386	6.714449348	6.714449348
387	6.713129384	6.713129384
388	6.702703792	6.702703792
389	6.688272896	6.688272896
390	6.677298866	6.677298866
391	6.685697885	6.685697885
392	6.677652112	6.677652112
393	6.670496789	6.670496789
394	6.6760933	6.6760933
395	6.661101076	6.661101076
396	6.64939088	6.64939088
397	6.638222956	6.638222956
398	6.637192893	6.637192893
399	6.632004276	6.632004276
400	6.635001227	6.635001227
401	6.64924515	6.64924515
402	6.664942031	6.664942031
403	6.650346607	6.650346607
404	6.644206747	6.644206747
405	6.63567599	6.63567599
406	6.626667094	6.626667094
407	6.633628734	6.633628734
408	6.634427948	6.634427948
409	6.638362294	6.638362294
410	6.645967645	6.645967645
411	6.633879951	6.633879951
412	6.630284711	6.630284711
413	6.608637597	6.608637597
414	6.605680006	6.605680006
415	6.609482193	6.609482193
416	6.615195241	6.615195241
417	6.608310612	6.608310612
418	6.602853266	6.602853266
419	6.588349943	6.588349943
420	6.58521775	6.58521775
421	6.586667358	6.586667358
422	6.599230042	6.599230042
423	6.601152764	6.601152764
424	6.608086806	6.608086806
425	6.608204561	6.608204561
426	6.608967595	6.608967595
427	6.609366701	6.609366701
428	6.593232062	6.593232062
429	6.606315609	6.606315609
430	6.607874988	6.607874988
431	6.596745394	6.596745394
432	6.596592081	6.596592081
433	6.59653598	6.59653598
434	6.579581064	6.579581064
435	6.583137368	6.583137368
436	6.565640092	6.565640092
437	6.560273526	6.560273526
438	6.554987518	6.554987518
439	6.569148273	6.569148273
440	6.581927585	6.581927585
441	6.582426772	6.582426772
442	6.570671869	6.570671869
443	6.576944059	6.576944059
444	6.568405349	6.568405349
445	6.562149134	6.562149134
446	6.563195946	6.563195946
447	6.571726429	6.571726429
448	6.569247364	6.569247364
449	6.568666918	6.568666918
450	6.56577098	6.56577098
451	6.575309512	6.575309512
452	6.570436578	6.570436578
453	6.573943823	6.573943823
454	6.573170877	6.573170877
455	6.579976064	6.579976064
456	6.574663862	6.574663862
457	6.572668353	6.572668353
458	6.548681806	6.548681806
459	6.550657043	6.550657043
460	6.548931837	6.548931837
461	6.548023373	6.548023373
462	6.539152345	6.539152345
463	6.539850033	6.539850033
464	6.523004194	6.523004194
465	6.523719736	6.523719736
466	6.517143992	6.517143992
467	6.509292254	6.509292254
468	6.519263602	6.519263602
469	6.53295874	6.53295874
470	6.542109291	6.542109291
471	6.533013355	6.533013355
472	6.51966795	6.51966795
473	6.507476617	6.507476617
474	6.510123064	6.510123064
475	6.498421881	6.498421881
476	6.482890509	6.482890509
477	6.492317221	6.492317221
478	6.48624077	6.48624077
479	6.476857554	6.476857554
480	6.466028502	6.466028502
481	6.473212944	6.473212944
482	6.481247842	6.481247842
483	6.473799195	6.473799195
484	6.471715205	6.471715205
485	6.457108095	6.457108095
486	6.436498906	6.436498906
487	6.425050859	6.425050859
488	6.435943571	6.435943571
489	6.412689936	6.412689936
490	6.403292543	6.403292543
491	6.400881963	6.400881963
492	6.396450353	6.396450353
493	6.396899089	6.396899089
494	6.400487041	6.400487041
495	6.416198137	6.416198137
496	6.410946385	6.410946385
497	6.400648351	6.400648351
498	6.399532617	6.399532617
499	6.401575608	6.401575608
